Geo_id,Geo_id2,Geo_display_label,I_T_WH,I_P_WH,I_T_AA,I_P_AA,I_T_AI,I_P_AI,I_T_AS,I_P_AS,I_T_PI,I_P_PI,I_T_OT,I_P_OT,I_T_HL,I_P_HL
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",1032,32.9,1512,48.2,17,0.5,108,3.4,0,0,638,20.3,884,28.2
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",1863,29.2,3019,47.3,52,0.8,335,5.2,0,0,1417,22.2,2245,35.1
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",1398,55.5,899,35.7,25,1,207,8.2,16,0.6,80,3.2,199,7.9
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",3802,61.6,1284,20.8,135,2.2,300,4.9,50,0.8,1014,16.4,1846,29.9
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",4850,76.9,1019,16.2,177,2.8,212,3.4,0,0,650,10.3,1571,24.9
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",1555,37.3,1645,39.5,24,0.6,140,3.4,0,0,912,21.9,1336,32
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",2041,43.9,1129,24.3,4,0.1,357,7.7,21,0.5,1186,25.5,1989,42.8
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",2213,49.6,1332,29.8,119,2.7,226,5.1,0,0,938,21,1323,29.6
1400000US11001003000,11001003e3,"Census Tract 30, District of Columbia, District of Columbia",1646,50.2,1338,40.8,7,0.2,126,3.8,0,0,222,6.8,538,16.4
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",1278,38.9,1029,31.4,32,1,266,8.1,0,0,770,23.5,1097,33.4
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",1490,30.9,2272,47.1,12,0.2,251,5.2,0,0,836,17.3,1156,24
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",2010,49.4,1914,47.1,94,2.3,238,5.9,0,0,63,1.5,252,6.2
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",1201,53.2,923,40.9,4,0.2,138,6.1,4,0.2,56,2.5,106,4.7
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",1446,29.5,3242,66.1,29,0.6,171,3.5,7,0.1,147,3,462,9.4
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",1206,21.8,3867,69.8,18,0.3,325,5.9,10,0.2,220,4,314,5.7
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",2704,55.9,1351,28,21,0.4,731,15.1,0,0,241,5,639,13.2
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",2848,48.1,2340,39.5,0,0,284,4.8,0,0,511,8.6,1467,24.8
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",3737,71.1,900,17.1,61,1.2,402,7.6,116,2.2,238,4.5,1092,20.8
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",3844,82.8,503,10.8,17,0.4,363,7.8,0,0,38,0.8,475,10.2
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",3631,82.5,251,5.7,20,0.5,177,4,42,1,412,9.4,610,13.9
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",2944,92.3,94,2.9,13,0.4,170,5.3,0,0,17,0.5,231,7.2
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",2159,81.2,145,5.5,0,0,253,9.5,20,0.8,160,6,238,9
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",3090,83,375,10.1,24,0.6,182,4.9,25,0.7,142,3.8,224,6
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",2229,87.8,65,2.6,29,1.1,204,8,0,0,114,4.5,353,13.9
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",2637,65.4,983,24.4,96,2.4,258,6.4,0,0,257,6.4,473,11.7
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",3946,73.3,1066,19.8,23,0.4,415,7.7,0,0,170,3.2,328,6.1
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1354,47.3,1347,47,0,0,169,5.9,0,0,29,1,193,6.7
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",1346,27.5,2970,60.8,89,1.8,699,14.3,0,0,71,1.5,499,10.2
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",1788,56.9,1095,34.8,51,1.6,238,7.6,38,1.2,98,3.1,243,7.7
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",1349,49.5,1010,37.1,17,0.6,325,11.9,0,0,129,4.7,216,7.9
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1538,43.6,1628,46.1,8,0.2,401,11.4,0,0,42,1.2,272,7.7
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",1395,49.2,1068,37.6,27,1,231,8.1,0,0,207,7.3,422,14.9
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1582,50.3,656,20.8,82,2.6,462,14.7,0,0,535,17,784,24.9
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",1583,76,396,19,0,0,303,14.5,8,0.4,66,3.2,373,17.9
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",3334,55.7,1347,22.5,166,2.8,483,8.1,27,0.5,919,15.4,1487,24.8
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",4918,78.5,509,8.1,162,2.6,624,10,111,1.8,369,5.9,798,12.7
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",4075,82.9,183,3.7,61,1.2,687,14,0,0,97,2,473,9.6
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",5441,79.3,456,6.6,100,1.5,848,12.4,0,0,231,3.4,576,8.4
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",4898,76,486,7.5,35,0.5,866,13.4,0,0,468,7.3,954,14.8
