Geo_id,Geo_id2,Geo_display_label,T_Pop,T_U5,P_U5,T_5_9,P_5_9,T_10_14,P_10_14,T_15_19,P_15_19,T_20_24,P_20_24,T_25_29,P_25_29,T_30_34,P_30_34,T_35_39,P_35_39,T_40_44,P_40_44,T_45_49,P_45_49,T_50_54,P_50_54,T_55_59,P_55_59,T_60_64,P_60_64,T_65_69,P_65_69,T_70_74,P_70_74,T_75_79,P_75_79,T_80_84,P_80_84,T_85,P_85
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",2890,295,10.2,206,7.1,130,4.5,258,8.9,216,7.5,193,6.7,179,6.2,128,4.4,178,6.2,191,6.6,276,9.6,194,6.7,198,6.9,76,2.6,59,2.0,65,2.2,35,1.2,13,0.4
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",1623,72,4.4,87,5.4,62,3.8,128,7.9,129,7.9,162,10.0,137,8.4,131,8.1,103,6.3,105,6.5,119,7.3,93,5.7,117,7.2,68,4.2,48,3.0,15,0.9,8,0.5,39,2.4
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",2773,117,4.2,285,10.3,241,8.7,214,7.7,242,8.7,238,8.6,215,7.8,305,11.0,84,3.0,127,4.6,206,7.4,153,5.5,138,5.0,58,2.1,29,1.0,79,2.8,34,1.2,8,0.3
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",2861,103,3.6,24,0.8,46,1.6,22,0.8,251,8.8,456,15.9,480,16.8,339,11.8,259,9.1,162,5.7,124,4.3,103,3.6,133,4.6,106,3.7,79,2.8,42,1.5,65,2.3,67,2.3
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",2745,140,5.1,71,2.6,47,1.7,33,1.2,129,4.7,492,17.9,406,14.8,183,6.7,191,7.0,121,4.4,152,5.5,147,5.4,141,5.1,191,7.0,80,2.9,107,3.9,44,1.6,70,2.6
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",3515,154,4.4,209,5.9,107,3.0,167,4.8,151,4.3,400,11.4,221,6.3,193,5.5,423,12.0,342,9.7,185,5.3,256,7.3,179,5.1,216,6.1,67,1.9,112,3.2,59,1.7,74,2.1
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",4625,178,3.8,459,9.9,255,5.5,384,8.3,424,9.2,237,5.1,305,6.6,421,9.1,292,6.3,228,4.9,329,7.1,432,9.3,171,3.7,185,4.0,154,3.3,40,0.9,77,1.7,54,1.2
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",3624,152,4.2,68,1.9,60,1.7,66,1.8,216,6.0,485,13.4,618,17.1,632,17.4,228,6.3,247,6.8,193,5.3,180,5.0,152,4.2,119,3.3,47,1.3,59,1.6,102,2.8,0,0.0
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",7167,260,3.6,73,1.0,110,1.5,87,1.2,813,11.3,1927,26.9,1671,23.3,703,9.8,529,7.4,285,4.0,114,1.6,159,2.2,217,3.0,75,1.0,106,1.5,11,0.2,0,0.0,27,0.4
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",1711,9,0.5,0,0.0,0,0.0,39,2.3,489,28.6,436,25.5,248,14.5,65,3.8,81,4.7,19,1.1,42,2.5,72,4.2,24,1.4,68,4.0,48,2.8,19,1.1,48,2.8,4,0.2
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",6451,0,0.0,0,0.0,0,0.0,3024,46.9,2647,41.0,366,5.7,63,1.0,123,1.9,15,0.2,17,0.3,32,0.5,25,0.4,79,1.2,0,0.0,32,0.5,6,0.1,1,0.0,21,0.3
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",4054,494,12.2,343,8.5,251,6.2,423,10.4,524,12.9,409,10.1,293,7.2,102,2.5,220,5.4,161,4.0,193,4.8,326,8.0,137,3.4,118,2.9,51,1.3,0,0.0,0,0.0,9,0.2
1400000US11001011000,11001011000,"Census Tract 110, District of Columbia, District of Columbia",3720,98,2.6,29,0.8,32,0.9,58,1.6,225,6.0,405,10.9,519,14.0,231,6.2,181,4.9,147,4.0,196,5.3,339,9.1,228,6.1,401,10.8,206,5.5,217,5.8,129,3.5,79,2.1
1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",5548,378,6.8,302,5.4,224,4.0,173,3.1,269,4.8,516,9.3,344,6.2,424,7.6,278,5.0,350,6.3,317,5.7,537,9.7,350,6.3,295,5.3,269,4.8,121,2.2,129,2.3,272,4.9
