Geo_id,Geo_id2,Geo_display_label,HH_T_10k,HH_T_1014k,HH_T_1524k,HH_T_2534k,HH_T_3549k,HH_T_5074k,HH_T_7599k,HH_T_100k,HH_T_150k,HH_T_200k
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",1.7,0,3,3.8,6.8,12.4,4.8,13.2,11.9,42.5
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",7.2,4.1,9,2.5,7.4,22.2,11.4,13.3,11,12
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",6.9,5.8,6.6,2.9,10.2,15,11.2,11.8,7.4,22.2
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",6.3,6.2,10.6,10.6,11.2,22.8,13.7,6.5,4.3,7.8
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",14.7,1.3,5.5,16,4.6,13.5,17.4,13.4,5.7,7.9
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",3.3,1,4.9,1.7,5.1,17.5,15,18.7,11.3,21.5
1400000US11001003000,11001003e3,"Census Tract 30, District of Columbia, District of Columbia",9.8,10.3,11,7,6.9,6.8,9.6,13.1,11.8,13.8
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",3.9,2.4,5.4,4.4,2.6,15.1,18.2,18.2,14.6,15.1
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",9.4,0,5.5,1.8,11.8,14.2,14.2,21.6,6.3,15.3
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",3.1,1.8,1.1,3.3,5.7,16.1,10.9,16.4,14,27.7
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",5.2,4.6,4,2.5,3.5,7.5,15.3,21.4,19.5,16.4
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",16.1,4.9,6.9,9,3.3,3.1,15.1,17.7,7.7,16.1
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",10.8,6.3,13.5,4.8,7.2,2.9,13.7,18,10.8,12
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",7.9,5.5,2.7,6.3,6.7,13.6,11,13.2,16,17.1
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",11.9,1.8,6.9,5.2,14.6,5.5,8.3,23,18.6,4.1
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",5.7,2.1,2,9.5,5.5,12,14.7,19.3,9.2,19.9
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",3.2,1.1,4.6,3.7,8.3,13.7,17,22.9,10.7,14.8
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",3.1,0,6.4,2.1,4.7,14.3,12.6,22.2,10.1,24.6
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",2.4,1.6,2.4,2.2,10.7,14.8,12.8,24,9.7,19.4
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1.3,1.2,0.2,0.5,2.2,9.8,17.5,19.4,10.8,37.1
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",1.1,2,2.8,0.4,3.8,21,10.9,21.6,8.6,27.9
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",3.8,0,4,4.1,5.9,19.8,8.2,26.1,10.4,17.7
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",4.5,4.3,8.6,5.4,4.8,16.6,6.6,22.2,8.7,18.3
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",3.8,1.4,1.6,3.7,3.3,2.9,6.6,18.6,24,34.1
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",7.3,5.6,12.9,2,7.6,7,8.6,20.8,10.8,17.4
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",16.1,10.1,14.3,8.5,9.5,7.9,5.1,13.9,6.7,7.8
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",7.6,3.9,4.7,4.1,5.8,9.8,12.1,17.4,14,20.4
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",7,4.1,5.1,1.6,6.3,7.1,7.8,29.3,12.8,18.8
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",7.4,2.8,9.2,9.8,6.3,15.5,9.3,18.4,6.9,14.4
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",8.8,4.8,2.9,9.5,3.3,12.7,7.4,17.9,9.7,23
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",10.8,10.3,2.5,4.7,9.6,8.3,5.6,17,13.2,17.9
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",1,0.5,3.6,0,4.5,6.8,11.9,30.3,14,27.4
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",10.8,4.3,3.8,6.3,4.7,9.9,16.1,17.1,10,17
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",6.8,0,2.7,2.6,4.4,13.9,13.6,23.2,12.7,20
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",8.1,0.8,1.7,6.9,8.7,15.2,12.4,21.7,10.3,14.3
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",13.2,3.7,4.5,4.9,3.4,17.7,7.4,17.8,10,17.5
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",13.5,7.1,7.7,3.4,5.4,11.6,9.4,16.3,12.7,12.9
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",8.9,0.4,3.1,2.1,5,6.7,8.2,26,14.3,25.4
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",17.5,2.3,4.4,1.5,5.2,9.5,8.1,27.1,7.7,16.7
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,0,0,0,0,0,23.1,0,76.9,0
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",33.6,9.2,12.6,11.6,10,6.2,4.4,6.6,1.7,4.1
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1.8,1.2,5.3,4.2,4.7,13.1,10.3,16.9,13.2,29.3
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",1.3,2.3,3.2,1,2.4,15.1,13.5,16,23.2,21.9
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",4.2,0.8,0.9,1.1,0.7,9.5,9.9,26.1,14.6,32.2
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",9.4,2.5,4.3,8.2,5.7,9.4,16.6,21.2,7.8,14.9
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",3.9,1.3,2.3,1.6,5.6,8.8,9.5,16.5,17,33.6
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",0,0,0,0,0,14.8,0,0,55.6,29.6
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",4.4,2.3,2.1,6.7,0.5,8.2,7.4,19.5,15.1,33.9
1400000US11001007000,11001007e3,"Census Tract 70, District of Columbia, District of Columbia",3.1,0.8,1.7,0.9,0.7,18.6,9.5,24.7,17.1,23
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",13.3,10.3,10.5,2.9,3.5,9.6,12.1,17.7,6.7,13.3
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",6.7,3.8,3.6,1.9,5.6,9.5,16,22.2,17,13.6
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",0.7,0,2.2,7.3,17.3,14.8,18.3,19.5,12,7.9
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",19.8,6.9,10,13.5,13,15.6,10.8,6,2.1,2.6
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",35,16.5,19,7.8,9.9,5.6,2.1,2.6,1.5,0
