Geo_id,Geo_id2,Geo_display_label,HH_T_SNAP,HH_P_SNAP,HH_T_nSNAP,HH_P_nSNAP
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",186,8.5,1992,91.5
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",43,1.5,2741,98.5
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",234,17.7,1085,82.3
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",589,23.6,1910,76.4
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",89,5.3,1576,94.7
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",107,9.4,1028,90.6
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",128,7.1,1669,92.9
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",108,8.4,1184,91.6
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",158,10.5,1341,89.5
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",5,0.5,922,99.5
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",371,10.7,3095,89.3
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",143,3.5,3898,96.5
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",41,1.2,3357,98.8
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",40,1,4112,99
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",107,3.5,2977,96.5
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",61,3.2,1870,96.8
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",201,15.2,1118,84.8
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,0,52,100
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",561,48.9,586,51.1
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",8,0.7,1104,99.3
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",0,0,955,100
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",18,1,1765,99
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",114,11.7,863,88.3
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",69,6.9,936,93.1
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",0,0,27,100
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",80,7,1071,93
1400000US11001007000,11001007e3,"Census Tract 70, District of Columbia, District of Columbia",13,1.2,1106,98.8
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",400,29.4,959,70.6
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",258,9.5,2472,90.5
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",29,2.4,1165,97.6
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",484,40,725,60
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",627,72.2,242,27.8
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",407,38.7,645,61.3
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",436,37.6,724,62.4
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",389,44.1,494,55.9
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",546,38.9,857,61.1
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",485,45.5,582,54.5
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",731,49,761,51
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",754,42.3,1029,57.7
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",383,41,552,59
