Geo_id,Geo_id2,Geo_display_label,I_T_OE,I_T_SS,I_T_SS_E,I_T_SS_nE,I_T_OL,I_T_OL_E,I_T_OL_nE,I_T_FB
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",3570,1065,645,420,397,313,84,1314
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",3243,404,335,69,842,735,107,991
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",3344,603,324,279,292,277,15,475
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",2339,170,99,71,601,533,68,461
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1901,210,175,35,416,309,107,657
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",3142,233,155,78,191,171,20,408
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1954,279,221,58,249,199,50,478
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",2985,398,251,147,460,372,88,792
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",4370,291,264,27,492,381,111,953
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",2435,134,96,38,181,158,23,166
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",3925,227,160,67,352,168,184,606
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",2593,138,83,55,313,261,52,407
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",2312,62,62,0,283,188,95,428
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",2805,249,238,11,386,250,136,413
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",2128,343,153,190,231,139,92,469
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",2270,365,166,199,366,260,106,728
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",1452,303,148,155,182,146,36,430
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",4157,1087,594,493,382,307,75,1321
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",4990,499,388,111,622,498,124,1446
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3790,225,205,20,733,638,95,1003
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",5171,380,307,73,1119,687,432,1745
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",3917,962,692,270,1435,1297,138,2334
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",2241,84,66,18,607,288,319,713
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",2297,122,118,4,252,218,34,329
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",72,0,0,0,0,0,0,0
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",2168,62,53,9,94,37,57,126
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",2171,187,124,63,93,69,24,258
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",1761,18,18,0,146,112,34,159
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",3746,71,71,0,250,215,35,263
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",1987,81,66,15,115,99,16,140
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",2216,64,64,0,38,38,0,58
