Geo_id,Geo_id2,Geo_display_label,I_T_wa,I_R_lfpart,I_O_ratio,I_R_unemp
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",2438,76.8,74.9,2.4
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",3538,89.6,87.1,2.8
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",2440,85.2,82,3.4
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",3689,84.1,81.4,2.9
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",5019,88.4,85.7,3
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",2649,77.8,73.2,5.5
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",3796,63.9,58.6,7.1
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",2873,77.7,73.2,4.4
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",2458,82.6,79.4,3.8
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",3178,77.3,76.5,1
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",2490,83.3,77.8,5.9
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",2892,81.3,75.6,5.4
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",1880,87.1,84.3,2.9
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",5355,79.7,77,3.4
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",6111,92.2,89.1,2.8
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",4686,83.4,80.9,2.4
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",6520,70.6,68.4,2.4
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",6267,68.5,66.5,3
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",2884,83.7,74.2,8.3
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",2644,74.5,68.8,7.2
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",72,100,100,0
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",2035,51.2,40.1,20.3
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",2284,82.7,77.1,4.9
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",1786,73.5,69.8,5
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",3736,78.7,77.9,1
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",2069,79.2,71.9,7.8
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",2080,84.4,78,5.8
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",2679,4.7,2.5,46.5
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",1956,82.2,81.3,1
1400000US11001007000,11001007e3,"Census Tract 70, District of Columbia, District of Columbia",2593,84.3,60.6,4.1
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",2674,57,47.2,16.4
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",4748,88,80.5,4.1
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",2958,82.3,35.2,5.4
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",2754,50.3,40.8,18.7
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",1552,40.7,31.3,23.1
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",2260,61,52.6,13.7
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",2790,63.2,54.4,13.9
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",2011,49.9,44,9.8
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",2412,63.3,54.6,13.8
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",2470,39.2,30.3,22.6
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",2775,61.9,52,16
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",3777,50.3,38.4,23.7
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",1709,56.7,47,17
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",1947,51.5,43,16.5
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",3979,66,56,15.1
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",3425,49.1,45.1,4.8
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",3448,69.3,57.5,16.4
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",3282,61.4,49.7,19.1
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",4309,58,46.3,20.1
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",3278,52.4,45.6,12.9
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",2264,58.4,40.5,30.7
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",2164,58.8,45.5,22.6
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",3228,64.4,53.8,16.4
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",3160,55.7,50.2,9.8
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",1742,58.2,43.9,24.7
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",1767,59.7,45,24.6
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",3028,56.2,43.5,22.7
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",2794,66.7,56.4,15.4
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",3189,67.1,58.9,10.7
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",1657,67.8,61.3,9.3
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",2499,80.5,76.8,3.4
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",2865,79.2,77.3,1.9
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",2751,80.8,79,1.2
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",2688,78.1,73.4,5.5
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",2118,79.4,75.1,4.6
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",2156,76.3,74.5,1.3
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",2179,80.3,76.7,4.1
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",1318,84.7,80.7,3.6
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",2265,77.3,75.5,2.3
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",2415,76.1,70.1,8
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",3708,66.4,58.5,11.9
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",2167,46.5,39.3,15.6
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",2240,57.6,49.6,13
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",2665,59,53.1,9.2
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",2971,66.4,57.6,13.2
