Geo_id,Geo_id2,Geo_display_label,I_T_5,I_T_59,I_T_1014,I_T_1519,I_T_2024,I_T_2529,I_T_3034,I_T_3539,I_T_4044,I_T_4559,I_T_6089,I_T_90
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",0,7,239,457,407,184,514,68,211,393,161,41
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",0,29,139,148,216,132,341,93,64,150,123,33
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",19,69,123,285,132,125,555,50,78,252,154,0
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",41,160,201,243,356,154,518,149,120,397,84,5
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",39,75,368,355,461,346,843,87,202,363,231,29
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",110,40,289,468,490,160,794,243,210,224,132,67
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",0,13,189,279,340,512,657,323,163,474,252,18
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",30,112,145,427,671,176,861,188,126,303,324,81
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",26,57,89,360,509,287,701,200,186,346,38,35
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",76,23,130,232,471,335,361,179,163,164,82,66
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",30,97,144,180,228,130,267,160,26,137,26,8
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",0,38,305,355,479,441,565,200,89,293,49,29
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",29,92,135,273,505,115,332,27,163,111,43,40
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",31,136,129,549,465,194,554,138,227,200,142,58
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",0,95,182,775,667,401,1020,338,286,186,57,17
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",0,87,117,289,158,169,275,183,199,150,100,0
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",0,83,157,324,374,140,317,52,117,274,71,14
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",9,164,214,418,289,163,311,79,52,208,66,39
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",0,23,102,210,275,310,416,191,53,177,70,9
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",0,137,296,436,459,207,395,38,75,192,52,32
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",5,89,193,232,336,210,367,86,73,156,53,26
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",37,87,303,460,366,191,308,41,133,178,9,22
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",0,13,131,404,299,128,293,26,60,100,43,21
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",33,258,475,770,776,541,444,166,132,236,68,14
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",130,356,724,816,656,356,803,584,355,356,189,23
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",40,190,393,578,785,349,470,206,201,187,213,17
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",94,161,605,862,891,274,822,99,36,135,157,66
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",78,388,530,721,737,178,395,128,94,149,202,97
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",18,191,448,361,284,147,221,69,33,135,40,0
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",36,88,153,348,267,155,242,59,126,143,38,0
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0,40,20,0,0,0,0,12,0,0,0,0
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",0,73,99,78,120,0,200,0,64,65,78,4
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",38,208,263,170,268,155,296,9,82,54,21,24
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",0,24,180,158,174,114,232,58,78,57,56,0
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",12,65,192,271,508,180,629,178,145,181,221,31
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",10,32,125,186,267,117,196,70,146,183,86,12
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",0,18,66,146,294,127,375,109,124,232,54,23
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",0,21,4,0,0,6,14,0,4,15,4,0
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",0,48,66,197,307,169,278,84,125,151,11,8
1400000US11001007000,11001007e3,"Census Tract 70, District of Columbia, District of Columbia",227,437,209,183,226,169,235,63,0,143,68,10
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",0,23,80,212,196,158,264,74,89,65,69,0
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",42,236,530,449,621,364,609,255,142,477,49,50
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",96,733,392,287,251,66,185,25,56,100,45,0
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",52,71,0,181,153,32,224,33,39,125,142,9
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",0,0,8,19,38,7,57,26,29,118,112,25
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",73,0,68,69,232,18,155,38,93,201,166,54
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",35,0,67,210,249,33,367,19,99,164,188,32
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",0,20,16,61,77,17,233,12,139,90,168,25
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",0,18,144,241,271,59,177,14,110,124,72,27
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",17,9,45,65,100,0,109,54,56,85,110,40
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",0,0,100,30,175,38,325,91,129,204,261,40
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",44,42,9,144,288,49,291,34,99,267,120,42
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",0,6,30,98,148,33,210,3,10,107,37,9
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",7,13,3,106,121,27,192,0,25,177,128,9
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",38,46,239,218,177,25,590,6,91,360,319,24
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",17,0,37,196,177,49,495,22,48,219,287,37
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",64,66,102,174,338,28,529,154,92,158,169,30
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",0,0,104,202,146,66,328,46,137,193,206,146
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",0,22,137,361,248,139,335,105,20,207,251,32
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",0,17,39,202,253,121,293,47,87,78,244,47
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",0,46,50,73,104,75,97,21,120,145,142,30
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",0,13,43,119,130,16,277,25,18,133,128,0
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",31,25,66,205,265,39,423,46,63,271,114,90
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",153,0,56,240,138,15,245,41,164,280,109,100
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",0,0,0,82,111,113,140,34,32,113,99,23
